kind,game,roots,window_roots,avg_abs_error,avg_sq_error,total_avg_abs_error,total_avg_sq_error,last_abs_error,validation_samples,validation_avg_abs_error,validation_avg_sq_error,validation_last_abs_error,elapsed_ms,roots_per_sec
progress,104,13422,21,0.999282,0.998569,0.404311,0.285672,1.000315,10,0.403255,0.238363,0.020263,1451104,9.2
progress,105,13522,100,0.891433,0.795474,0.407913,0.289442,0.936117,10,0.403255,0.238363,0.020263,1462233,9.2
progress,105,13600,78,0.976105,0.953277,0.411172,0.293249,1.000555,10,0.403255,0.238363,0.020263,1470815,9.2
progress,106,13700,100,0.098784,0.023982,0.408892,0.291284,0.490749,10,0.403255,0.238363,0.020263,1481857,9.2
progress,106,13748,48,0.747549,0.571141,0.410074,0.292261,1.000277,10,0.403255,0.238363,0.020263,1487149,9.2
progress,107,13848,100,0.591341,0.369891,0.411383,0.292822,0.187982,10,0.403255,0.238363,0.020263,1498190,9.2
progress,107,13938,90,0.653147,0.520586,0.412944,0.294292,0.925892,10,0.403255,0.238363,0.020263,1508107,9.2
progress,108,14038,100,0.550690,0.426789,0.413925,0.295236,0.997819,10,0.403255,0.238363,0.020263,1519142,9.2
progress,108,14054,16,0.999847,0.999695,0.414593,0.296038,1.000616,10,0.403255,0.238363,0.020263,1520889,9.2
progress,109,14140,86,0.591094,0.483024,0.415666,0.297176,1.000178,10,0.403255,0.238363,0.020263,1530374,9.2
progress,110,14240,100,0.214436,0.099205,0.414253,0.295785,0.672098,10,0.403255,0.238363,0.020263,1541399,9.2
progress,110,14316,76,0.879061,0.789546,0.416720,0.298407,1.000157,10,0.403255,0.238363,0.020263,1549770,9.2
progress,111,14416,100,0.310239,0.106636,0.415982,0.297076,0.428354,10,0.403255,0.238363,0.020263,1560891,9.2
progress,111,14502,86,0.855238,0.749914,0.418587,0.299762,0.943747,10,0.403255,0.238363,0.020263,1570350,9.2
progress,112,14602,100,0.055203,0.004874,0.416098,0.297742,0.000082,10,0.403255,0.238363,0.020263,1581384,9.2
progress,112,14603,1,0.000088,0.000000,0.416070,0.297722,0.000088,10,0.403255,0.238363,0.020263,1581494,9.2
progress,113,14703,100,0.075746,0.011123,0.413755,0.295773,0.000222,10,0.403255,0.238363,0.020263,1592519,9.2
progress,113,14790,87,0.295738,0.134679,0.413061,0.294825,0.000109,10,0.403255,0.238363,0.020263,1602088,9.2
progress,114,14877,87,0.810416,0.745095,0.415384,0.297458,1.000273,10,0.403255,0.238363,0.020263,1611677,9.2
progress,115,14977,100,0.231276,0.087804,0.414155,0.296058,0.209091,10,0.403255,0.238363,0.020263,1622721,9.2
progress,115,15051,74,0.178565,0.052518,0.412997,0.294861,0.000612,10,0.403255,0.238363,0.020263,1630875,9.2
progress,116,15151,100,0.507144,0.296467,0.413618,0.294871,0.821229,10,0.403255,0.238363,0.020263,1641910,9.2
progress,116,15191,40,0.943826,0.896839,0.415014,0.296457,1.000558,10,0.403255,0.238363,0.020263,1646288,9.2
progress,117,15264,73,0.080751,0.008350,0.413416,0.295079,0.000310,10,0.403255,0.238363,0.020263,1654355,9.2
progress,118,15364,100,0.147310,0.029213,0.411684,0.293348,0.029642,10,0.403255,0.238363,0.020263,1665389,9.2
progress,118,15393,29,0.000345,0.000000,0.410909,0.292796,0.000287,10,0.403255,0.238363,0.020263,1668583,9.2
progress,119,15493,100,0.858740,0.750142,0.413799,0.295747,0.998315,10,0.403255,0.238363,0.020263,1679620,9.2
progress,119,15511,18,0.999790,0.999580,0.414479,0.296564,1.000551,10,0.403255,0.238363,0.020263,1681573,9.2
progress,120,15611,100,0.729422,0.595634,0.416497,0.298480,0.998912,10,0.403255,0.238363,0.020263,1692608,9.2
progress,120,15636,25,0.999907,0.999814,0.417430,0.299601,1.000611,10,0.403255,0.238363,0.020263,1695335,9.2
progress,121,15736,100,0.497858,0.330928,0.417941,0.299800,0.919181,10,0.403255,0.238363,0.020263,1706465,9.2
progress,121,15772,36,0.994459,0.989164,0.419257,0.301374,1.000041,10,0.403255,0.238363,0.020263,1710414,9.2
progress,122,15872,100,0.387454,0.245687,0.419056,0.301023,0.902597,10,0.403255,0.238363,0.020263,1721451,9.2
progress,122,15904,32,0.978527,0.958088,0.420182,0.302345,1.000183,10,0.403255,0.238363,0.020263,1724977,9.2
progress,123,16004,100,0.301224,0.194767,0.419439,0.301673,0.929108,10,0.403255,0.238363,0.020263,1736018,9.2
progress,123,16071,67,0.978051,0.957089,0.421767,0.304405,1.000157,10,0.403255,0.238363,0.020263,1743396,9.2
progress,124,16171,100,0.764419,0.618676,0.423886,0.306349,0.998677,10,0.403255,0.238363,0.020263,1754414,9.2
progress,124,16192,21,0.999933,0.999867,0.424634,0.307248,1.000618,10,0.403255,0.238363,0.020263,1756048,9.2
progress,125,16292,100,0.110410,0.014437,0.422705,0.305451,0.165584,10,0.403255,0.238363,0.020263,1767087,9.2
progress,125,16387,95,0.096443,0.011817,0.420813,0.303749,0.075153,10,0.403255,0.238363,0.020263,1777556,9.2
progress,126,16487,100,0.479461,0.268826,0.421169,0.303537,0.838456,10,0.403255,0.238363,0.020263,1788586,9.2
progress,126,16514,27,0.977267,0.957225,0.422078,0.304606,1.000034,10,0.403255,0.238363,0.020263,1791532,9.2
progress,127,16598,84,0.334009,0.291875,0.421633,0.304541,1.000157,10,0.403255,0.238363,0.020263,1800800,9.2
progress,128,16661,63,0.076398,0.008729,0.420327,0.303423,0.000348,10,0.403255,0.238363,0.020263,1807763,9.2
progress,129,16761,100,0.310900,0.216081,0.419674,0.302902,0.999806,10,0.403255,0.238363,0.020263,1818758,9.2
